experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
14,15,100,0.0041902772143149825,0.02,-0.005,0.004165271553281852,-0.009165271553281852,0.7321966505523237,-0.6277266020417853,26.710719349600712,0.20043431493306726,9.692898801032441e-05,0.2663419435525941,0.24981871331451816,0.05368965095507622,0.2759133861837813,0.22630734434012992
14,15,150,0.0046424151782545175,0.02,-0.005,0.004642897573279597,-0.009642897573279598,0.5595620895019742,-0.4593533451606454,38.81295826009443,0.1769925163353051,0.00016790713904635341,0.2591944120157655,0.30833828706818767,0.03900740407096614,0.2657847283820635,0.24143773026060308
14,15,200,0.00606229341556172,0.02,-0.005,0.00601650530513362,-0.011016505305133619,0.2756417968485185,-0.21482757835467758,56.92044816333777,0.15629235367788347,-0.0007157508499534848,0.32139489587107806,0.29841431961808923,0.01779404774264449,0.2829118473967049,0.2300039749826431
14,15,250,5.58872318919356e-11,0.02,-0.005,1.6375000122749852e-10,-0.0050000001637500015,0.0,0.0,80.49485864484176,0.14418699046916783,-0.015304094413059034,0.34042505303017,0.30837634982946716,0.01700616887695271,0.2904151000388688,0.22833953239123453
14,15,300,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,88.53468755062963,0.14418699046916783,-0.02618040657316882,0.37531221033644746,0.24737464029523018,0.017176240726185683,0.29955794734810337,0.24133671806556084
14,15,350,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,98.28636906945651,0.14418699046916783,-0.03775340974769046,0.33269731701212607,0.25915733502355465,0.017701702375958948,0.3035948739682851,0.23123279019331008
14,15,400,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,105.7371263440564,0.14418699046916783,-0.042040810808552015,0.3755599917627623,0.29568563878314524,0.0417369580578094,0.2877730326513286,0.23679982338651767
14,15,450,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,105.7371263440564,0.14418699046916783,-0.03272089096164844,0.3987979559137746,0.2992924654978385,0.07804099750329362,0.3137771444035371,0.2662776943477038
14,15,500,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,105.7371263440564,0.14418699046916783,-0.02546708031392907,0.4535863998046205,0.32689573043823406,0.09940597782846089,0.33774795339837826,0.23595314537909498
14,15,550,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,105.7371263440564,0.14418699046916783,-0.019821348400212283,0.472740622150688,0.32924783515536027,0.12070928716918977,0.3092771477586024,0.22845910824143562
14,15,600,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,105.7371263440564,0.14418699046916783,-0.015427204357920856,0.5610667932248373,0.37604309669093744,0.13818742338003742,0.33703338860608356,0.24579876634943407
14,15,650,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,105.7371263440564,0.14418699046916783,-0.012007186872237206,0.556782489652569,0.3131937439493163,0.14946378802182783,0.38395763044478326,0.2337008724923225
14,15,700,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,105.7371263440564,0.14418699046916783,-0.00934534431773459,0.6441984784316481,0.33955711747460365,0.15510145716549886,0.3521351749833703,0.24893268839223193
14,15,750,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,105.7371263440564,0.14418699046916783,-0.007273598832625428,0.6386547359932635,0.29092178716712097,0.15965653697805945,0.35165158167437216,0.26488914643880734
14,15,800,0.0,0.02,-0.005,0.0,-0.005,0.0,0.0,105.7371263440564,0.14418699046916783,-0.0056611333065157395,0.676461826608679,0.2741693588247884,0.16238597205454514,0.3497145283025099,0.24192942863737224
