experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,welfare,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy,non_consuming_households
19,2,1,0,0.02,0.020000000000000018,0.02,1.734723475976807e-17,0.0,-1661.469318990759,0.0,18.023373808645868,0.14418699046916783,0.10814024285187587,1,1,0.0,0.07057266899302507,0.14328942297311037,0
19,2,2,0.01737939435735403,0.02,-0.00395269292201228,0.02,-0.02395269292201228,0.01,-1435.1919111887175,-0.007509414283665028,28.458576022263127,0.14454972790244444,0.08831293729888806,0.9989188123481556,0.9931651589540769,0.010627318381115641,0.07151942354605383,0.14236117046937388,0
19,2,3,0.011717964979491246,0.02,0.008793769819508857,0.014344848589338509,-0.005551078769829652,0.019899999999999977,-1344.5330839877593,-0.014962437264446238,33.48804556658595,0.14491337788993325,0.0768097161783576,0.9998222435336764,0.9862746859225485,0.02078531764486666,0.06886037114209462,0.1454167368621813,5
19,2,4,0.012432368117678672,0.02,-0.005,0.015101915539542066,-0.020101915539542065,0.029701000000000023,-1284.6677633620645,-0.02235949240799917,37.338649406639426,0.1452779427273863,0.06868753637255581,0.998217909161611,0.9896378223584974,0.030902759403609745,0.06888625032915098,0.14276119930468273,9
19,2,5,0.012985260419829345,0.02,-0.005,0.0156590497991907,-0.020659049799190702,0.03940399000000002,-1240.8936758423445,-0.029700999999999977,40.05825803291819,0.14564342471633113,0.06181994590237411,1.0002800330927024,0.9909855171795078,0.038806115282786297,0.06939843113407237,0.15061945041580788,15
19,2,6,0.013408844674411731,0.02,-0.005,0.016075840004552686,-0.021075840004552687,0.04900995010000008,-1212.1688592432536,-0.03698737717002576,42.18291306692536,0.1460098261640853,0.05618813928709462,1.002737316744556,0.9895740492607251,0.04457278091702602,0.0697409616675679,0.14853209586675648,19
19,2,7,0.013656263963199836,0.02,-0.005,0.016390131170879275,-0.021390131170879276,0.05851985059900005,-1183.2720262678897,-0.044219037915254944,44.10838778531844,0.14637714938377097,0.05099441879561481,1.0006601967698585,0.9901573789922535,0.05340601265282321,0.06748560075366183,0.15074962118982327,25
19,2,8,0.013906465571870441,0.02,-0.005,0.016609131576239597,-0.021609131576239598,0.06793465209301007,-1151.8542082292645,-0.05139639312398914,46.228518991399845,0.14674539669432965,0.04544859796019188,1.0033818834323682,0.9916818119814242,0.06322387324223264,0.0635668735836211,0.14561679034773417,30
19,2,9,0.01409930822252392,0.02,-0.005,0.016781182181087408,-0.02178118218108741,0.07725530557208003,-1140.979743255381,-0.05851985059900011,48.38949555932506,0.14711457042053652,0.03985974987635881,1.003527119885288,0.9875375889752309,0.07181509524373293,0.06561708140422683,0.1462854213284189,29
19,2,10,0.014210908581443506,0.02,-0.005,0.016915418146174685,-0.021915418146174686,0.08648275251635926,-1121.0069195941849,-0.06558981508069905,50.52564631697739,0.14748467289301545,0.03435908103255896,1.0034304445224569,0.9811764086934165,0.07967867378411622,0.064196254713406,0.14652596146442906,32
19,2,11,0.014316918360342313,0.02,-0.005,0.017010436218448218,-0.02201043621844822,0.09561792499119565,-1091.8807906801005,-0.07260668827013395,52.68522472908646,0.1478557064482535,0.028849205546177085,1.0024036895229804,0.9795564203104726,0.08583306805895169,0.06217842544739926,0.14839352488116106,37
19,2,12,0.01436456342994961,0.02,-0.005,0.01708444769930969,-0.02208444769930969,0.10466174574128365,-1065.3378774486087,-0.07957086885181364,54.828727934243,0.14822767342861579,0.023408748265265573,1.0027224845517253,0.9792130995639279,0.09081790635528683,0.06663367255541659,0.14172998898339828,42
19,2,13,0.014430944088820204,0.02,-0.005,0.017133364707142246,-0.022133364707142247,0.11361512828387083,-1051.1592602216958,-0.08648275251635917,56.85964360570002,0.14860057618236006,0.018229922834390264,1.0043031239322557,0.9755084938810911,0.09480230315330669,0.06610993845934117,0.1443500613892281,45
19,2,14,0.014468179658607418,0.02,-0.005,0.017174418375776174,-0.022174418375776175,0.12247897700103215,-1021.3715204894584,-0.09334273198298715,58.9666725205837,0.14897441706365194,0.012933588132052481,1.0038307079177387,0.9780572836895867,0.09761707156831019,0.06837158581768735,0.1435370718658901,51
19,2,15,0.014483394853368081,0.02,-0.005,0.017204254102539944,-0.022204254102539945,0.1312541872310219,-999.1742383001617,-0.10015119702182285,60.955585800775864,0.14934919843257932,0.007908343901428083,1.0013677024848033,0.9849371354571763,0.09833893002855851,0.06810953697766722,0.14573679429849748,56
19,2,16,0.014534082578957004,0.02,-0.005,0.017222975764611993,-0.022222975764611994,0.13994164535871165,-992.3029692867143,-0.10690853447604587,62.487416760641466,0.14972492265516746,0.003830340437933272,1.0034395814513022,0.9830062446274518,0.09461912006472724,0.07279516480713899,0.1472134178611942,59
