scenario,experiment,run,period,inflation,inflation_target,unemployment_rate,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
1,1,1,100,0.018446879046196275,0.02,0.0,0.9156059239362041,0.40308211652117176,0.032274480086518675,0.11887902986739952
1,1,1,150,0.017036215595352254,0.02,0.0,0.8493644091650943,0.4036687468337387,0.03101869941427761,0.10600577423039259
1,1,1,200,0.01691764901862146,0.02,0.0,0.8463738040196152,0.3470528353310558,0.03094832676166594,0.10794271766448307
1,1,1,250,0.015865885297880016,0.02,0.0,0.7875164738334883,0.37874630330516945,0.03363196892563086,0.09974549437885988
1,1,1,300,0.016823002970977753,0.02,0.0,0.8429512320295259,0.35111632584197344,0.03078027812241271,0.09779854752835924
1,1,1,350,0.016520504072240882,0.02,0.0,0.8189171282125828,0.2848569231243502,0.029222009243024583,0.10206052780040824
1,1,1,400,0.015882539695794347,0.02,0.0,0.7951637543507294,0.182188995980457,0.03325749756904137,0.12178106192505955
1,1,1,450,0.015948660853002984,0.02,0.0,0.7867590782367901,0.17527660442243978,0.03270667397384181,0.12420506628467998
1,1,1,500,0.016634564104212563,0.02,0.0,0.8188296977791132,0.18331754235806497,0.03670578929929336,0.12348391400867244
1,1,1,550,0.016314267354403934,0.02,0.0,0.8089330664852777,0.03709440188003357,0.03322817005591356,0.09672742671449146
1,1,1,600,0.015474387604322775,0.02,0.0,0.7602538628677612,0.11336268729289656,0.02769653433988977,0.11097249876399495
1,1,1,650,0.014742920185991737,0.02,0.0,0.7318350185269286,0.07521950394336088,0.029768360450511722,0.0923121561437691
1,1,1,700,0.014741214337777347,0.02,0.0,0.7309601576153508,0.09256668839420687,0.03368324590752694,0.09872260055801832
1,1,1,750,0.014747739317251447,0.02,0.0,0.7359129516605998,0.09063566526539008,0.02843376393621541,0.10875299891310215
1,1,1,800,0.01459257322728889,0.02,0.0,0.7269403162225563,0.03310029475217128,0.033309321891069055,0.11393473669882309
1,1,2,100,0.01921509471614586,0.02,0.0,0.953815878712175,0.718340850803594,0.03378460043362363,0.114040322448228
1,1,2,150,0.019317736763976186,0.02,0.0,0.9711982272339315,0.7909347667191775,0.03310055059285949,0.09347532234267875
1,1,2,200,0.019620872068947207,0.02,0.0,0.9812226506835929,0.8093988519466873,0.03132614861430017,0.10783641335930572
1,1,2,250,0.02194038211023943,0.02,0.0,1.0900367279749938,0.8435088906286512,0.030254454079162416,0.13367542971578963
1,1,2,300,0.022426337417989946,0.02,0.0,1.121694361330448,0.7504417186299328,0.037281564144965564,0.1312298153994112
