"","period","inflation","inflation_target","nominal_interest_rate","mean_exp_inflation","real_interest_rate","unemployment_rate","output_gap","consumption","real_wage_rate","mean_real_savings_balance","mean_indexation_strategy","mean_substitution_strategy","stdev_real_savings_balance","stdev_indexation_strategy","stdev_substitution_strategy"
"1",1,0,0.02,0,0.0140322387298744,-0.0140322387298744,0.1,-0.075978913527693,18.3193751934177,0.148035355098325,0.0965930692016571,1,1,0.0659514557192795,0.30089247004706,0.299258359341368
"2",2,0.00247183836853382,0.02,0,0.0140064452675009,-0.0140064452675009,0.109,-0.0829177706728559,29.3589657650667,0.148407774028548,0.0735133951293026,0.999748395892032,0.999242484213395,0.105915735370943,0.300586167055877,0.299314675068291
"3",3,0.00284675608662948,0.02,0,0.0143974073345102,-0.0143974073345102,0.11791,-0.0898045210650604,37.1872531186789,0.148781129869142,0.0568638406089139,0.999956434455519,0.999351487396777,0.129556433022625,0.300210008826003,0.299129331339248
"4",4,0.0280009015377232,0.02,0,0.0146706674755917,-0.0146706674755917,0.1090891,-0.0829865526998558,42.8756540152369,0.148411484454803,0.0464701011554908,0.999294898368376,0.999683857236657,0.139440540648115,0.300185389250107,0.29904018325393
"5",5,0.0317183808409882,0.02,0.00850700038788782,0.0188926364069404,-0.0103856360190526,0.100179991,-0.076117513225527,46.5791872370865,0.148042757421259,0.0400534608410089,0.998753105153761,0.999458421987545,0.143210931159137,0.30022061417004,0.29877024649351
"6",6,0.034079965628427,0.02,0.0145201512400035,0.0214468669337742,-0.00692671569377072,0.0911817909099999,-0.0691970200855636,48.9216920523367,0.147674946486801,0.0366957006025434,0.998034292452768,0.999715360653244,0.145785599135167,0.300254319836519,0.298707056208171
"7",7,0.0354117319741075,0.02,0.0189797721502463,0.0229285457515556,-0.00394877360130929,0.0820936088190999,-0.0622246878578527,50.3272981488021,0.147308049375388,0.0353930933797054,0.997559096034572,1.00013172078479,0.148476088972548,0.300135106344818,0.298856315191203
"8",8,0.0363264605703204,0.02,0.0222633227029526,0.0239029782847265,-0.00163965558177396,0.072914544907291,-0.0552001282332141,51.1510708894022,0.146942063816637,0.0353775024928305,0.997379376447897,1.00073748248443,0.150929511955649,0.300178641170214,0.298869031869493
"9",9,0.0368304660811042,0.02,0.0250921920569581,0.0244039622962024,0.000688229760755713,0.0636436903563639,-0.0481229499937738,51.5475937749886,0.146576987545801,0.0363131928238171,0.997098232244723,1.00099975231543,0.153338228434223,0.300063186914695,0.298883195142605
"10",10,0.03696162015539,0.02,0.0274723072339649,0.0247240833492963,0.00274822388466864,0.0544673985218563,-0.0411355412923585,51.6831766493431,0.146220147496704,0.037851675384829,0.997094872437831,1.00087291252652,0.155713133489756,0.299582544447256,0.298659069001214
"11",11,0.0195557915412868,0.02,0.0294425236060433,0.0249441416750886,0.00449838193095477,0.0582899795203455,-0.0440514088053362,51.94519318619,0.146370095871129,0.0378725077337173,0.99722650173984,1.00120471538247,0.163801168990488,0.299264584316378,0.298962207370968
"12",12,0.0275470210656423,0.02,0.00931533792251332,0.0221439186346134,-0.0128285807121,0.054412149754162,-0.0410932397518338,53.9665252883468,0.146217939727932,0.0352369325644425,0.997777071389343,1.0010523139949,0.168548759249881,0.299241489122962,0.298795095376439
"13",13,0.0349673612226621,0.02,0.018488833097772,0.0221871268331698,-0.00369829373539777,0.0450319212757639,-0.0339679279714442,54.6515672146581,0.145857587003618,0.0350749433358488,0.998912783441956,1.00073809332054,0.165916871874063,0.298926791747985,0.298551099220422
"14",14,0.035730382440538,0.02,0.0289087268440682,0.0234136767838949,0.00549505006017326,0.0360170861586273,-0.0271374782888273,54.2388705767971,0.145515625511198,0.0373364750233665,0.999816646653635,1.00108165058253,0.163861290830843,0.29847777707615,0.298393332463241
"15",15,0.0183068392875177,0.02,0.0316161786478749,0.0241980021018775,0.00741817654599739,0.0404207761867054,-0.0304783172896572,53.9382045767816,0.145683719245286,0.0384197087639752,0.999867251603966,1.00087922027116,0.170448357541157,0.297978774114881,0.298636677357414
"16",16,0.0138642616548629,0.02,0.0101817408149405,0.0215242580878313,-0.0113425172728909,0.0462363365334239,-0.0348905489309889,55.7334991698764,0.145905802392811,0.0353094603051206,1.00034183486033,1.00106957628534,0.178155141110222,0.297843897526439,0.29869479614985
"17",17,0.0262648345876501,0.02,0.00637191350048693,0.0196874406585128,-0.0133155271580259,0.0417906854939238,-0.0315150214883589,57.4608081292009,0.145735369697206,0.0325430788505451,1.00070889314794,1.00121349865643,0.177413962712657,0.297847534088573,0.298740420949593
"18",18,0.0296711938489455,0.02,0.020122204922357,0.0208782648871917,-0.000756059964834702,0.0356705046228972,-0.0268750651619567,57.6549805378057,0.145502524064268,0.0328265620421468,1.00130880736311,1.00128214586563,0.174748583216169,0.297559831318058,0.298859064439974
