;National Accounts, External Sector, Exports of Goods and Services, Nominal, Domestic Currency (millions);National Accounts, External Sector, Imports of Goods and Services, Nominal, Domestic Currency (millions);National Accounts, Gross Capital Formation, Change in Inventories, Nominal, Domestic Currency (millions);National Accounts, Gross Capital Formation, Gross Fixed Capital Formation, Corporations, Households, and Non-profit Institutions Serving Households Nominal, Domestic Currency (millions);National Accounts, Gross Domestic Product, Nominal, Domestic Currency (millions);National Accounts, Gross Domestic Product, Real, Domestic Currency (millions);National Accounts, Household Consumption Expenditure, incl. NPISHs, Nominal, Domestic Currency (millions);National Accounts, Public Final Consumption Expenditure, General Government, Nominal, Domestic Currency (millions);National Accounts, Gross Domestic Product, Deflator, Index;National Accounts, Gross Domestic Product, Real, Percentage change, Corresponding period previous year, Percent;National Accounts, Gross Domestic Product, Real, Percentage change, Previous period, Percent
date;nominal_exports;nominal_imports;nominal_change_invent;nominal_gross_fixed_cap_form;nominal_gdp;real_gdp;hh_cons_exp;gov_cons_exp;gdp_deflator;real_gdp_growth_same_quarter_prev_year;real_gdp_growth_prev_quarter
Q1 1990;;;;;1.42;;;;;;
Q1 1991;1.00;1.00;0.00;1.00;7.00;;4.00;1.00;;;
Q2 1991;1.00;1.00;1.00;2.00;11.00;;6.00;2.00;;;
Q3 1991;1.00;1.00;0.00;3.00;15.00;;10.00;3.00;;;
Q4 1991;2.00;2.00;0.00;5.00;27.00;;17.00;5.00;;;
Q1 1992;5.00;4.00;1.00;9.00;49.00;;30.00;8.00;;;
Q2 1992;9.00;7.00;2.00;17.00;91.00;;55.00;15.00;;;
Q3 1992;18.00;14.00;0.00;32.00;174.00;;107.00;30.00;;;
Q4 1992;37.00;30.00;0.00;60.00;327.00;;203.00;56.00;;;
Q1 1993;70.00;53.00;22.00;117.00;666.00;;394.00;116.00;;;
Q2 1993;146.00;128.00;36.00;282.00;1,464.00;;873.00;256.00;;;
Q3 1993;373.00;332.00;107.00;671.00;3,569.00;;2,125.00;625.00;;;
Q4 1993;892.00;769.00;56.00;1,648.00;8,397.00;;5,079.00;1,493.00;;;
Q1 1994;2,213.00;4,239.00;-1,335.00;4,550.00;18,876.00;;13,611.00;4,077.00;;;
Q2 1994;7,677.00;14,315.00;4,173.00;14,066.00;66,460.00;;42,212.00;12,646.00;;;
Q3 1994;12,247.00;4,526.00;3,553.00;24,640.00;128,498.00;;71,242.00;21,342.00;;;
Q4 1994;11,084.00;8,912.00;-1,511.00;29,197.00;135,371.00;;81,191.00;24,323.00;;;
Q1 1995;10,401.00;13,788.21;-6,738.98;31,363.06;156,929.50;;100,056.93;35,635.71;29.03;;
Q2 1995;12,493.41;16,183.65;141.80;33,785.85;170,781.31;;104,893.10;35,650.81;29.03;;8.83
Q3 1995;14,259.50;16,031.82;-2,716.17;32,139.48;180,259.64;;115,703.70;36,904.93;29.03;;5.55
Q4 1995;14,053.16;15,916.41;7,225.22;32,008.31;197,670.44;;120,058.15;40,242.01;29.03;;9.66
Q1 1996;12,305.88;14,772.81;-4,964.06;35,403.16;189,323.30;;125,685.05;35,666.08;32.16;8.92;-13.53
Q2 1996;14,576.31;17,470.48;-3,354.75;39,326.08;204,610.73;;132,510.86;39,022.70;33.61;3.47;3.39
Q3 1996;15,560.48;20,927.58;993.98;41,417.57;221,513.23;;142,658.33;41,810.46;33.87;5.32;7.43
Q4 1996;15,084.72;22,949.10;-4,417.12;43,186.71;239,316.35;;156,087.50;52,323.64;37.74;-6.86;-3.02
Q1 1997;13,162.00;19,333.25;-7,355.30;42,696.63;219,117.05;;147,807.94;42,139.02;35.99;3.40;-4.01
Q2 1997;17,401.76;22,570.11;-8,062.74;46,189.46;232,889.54;;154,446.53;45,484.65;36.52;4.75;4.74
Q3 1997;18,528.58;25,171.21;2,106.22;47,287.13;246,178.48;;157,597.81;45,829.94;36.98;1.79;4.39
Q4 1997;17,398.23;24,255.15;373.74;45,893.85;253,904.12;;161,953.64;52,539.82;38.59;3.74;-1.16
Q1 1998;16,098.85;21,714.34;-8,375.53;45,594.78;235,700.70;;157,102.91;46,994.03;38.33;1.01;-6.54
Q2 1998;18,804.60;22,895.70;-852.95;48,379.31;251,935.88;;159,193.94;49,306.68;38.92;1.51;5.26
Q3 1998;18,785.81;25,366.18;3,701.04;47,636.03;258,043.29;;163,447.31;49,839.27;38.63;0.36;3.21
Q4 1998;16,781.03;24,325.81;1,742.59;44,249.30;256,671.15;;163,186.84;55,037.19;39.58;-1.43;-2.93
Q1 1999;22,153.37;25,846.74;-3,514.98;44,120.58;250,667.99;;164,892.67;48,863.09;40.45;0.77;-4.45
Q2 1999;24,727.75;29,000.69;3,828.67;47,152.46;268,708.93;;170,252.07;51,748.67;41.68;-0.40;4.04
Q3 1999;27,646.22;32,971.23;311.87;46,383.16;274,125.56;;178,811.44;53,944.09;41.29;-0.62;2.98
Q4 1999;29,511.05;36,368.15;3,434.49;47,431.81;294,207.98;;189,576.24;60,622.54;44.41;2.17;-0.21
Q1 2000;26,401.90;31,107.00;-496.50;56,886.90;276,926.90;187,799.50;176,025.20;49,216.40;42.81;4.40;-2.36
Q2 2000;30,238.80;34,983.10;930.50;53,911.10;292,788.60;194,596.60;189,995.90;52,695.40;43.68;3.98;3.62
Q3 2000;33,767.70;40,155.50;6,805.10;53,878.60;308,895.80;201,534.70;200,011.60;54,588.40;44.50;4.56;3.57
Q4 2000;31,755.80;43,061.90;-60.90;54,811.10;320,480.80;201,179.50;208,493.20;68,543.60;46.25;4.60;-0.18
Q1 2001;33,576.50;42,901.60;1,546.50;61,689.20;312,469.80;194,325.70;203,369.30;55,189.90;46.68;3.48;-3.41
