"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Variação percentual mês/mês imediatamente anterior com ajuste sazonal (Base: mês imediatamente anterior) (%)"
"Brasil"
"Mês","Seções e atividades industriais (CNAE 2.0)",""
"janeiro 2002","1 Indústria geral","0.0"
"fevereiro 2002","1 Indústria geral","3.1"
"março 2002","1 Indústria geral","-0.4"
"abril 2002","1 Indústria geral","-0.4"
"maio 2002","1 Indústria geral","-0.4"
"junho 2002","1 Indústria geral","0.3"
"julho 2002","1 Indústria geral","0.5"
"agosto 2002","1 Indústria geral","-1.5"
"setembro 2002","1 Indústria geral","1.1"
"outubro 2002","1 Indústria geral","0.9"
"novembro 2002","1 Indústria geral","0.1"
"dezembro 2002","1 Indústria geral","-1.1"
"janeiro 2003","1 Indústria geral","0.6"
"fevereiro 2003","1 Indústria geral","-0.1"
"março 2003","1 Indústria geral","-0.1"
"abril 2003","1 Indústria geral","-0.3"
"maio 2003","1 Indústria geral","-2.1"
"junho 2003","1 Indústria geral","0.5"
"julho 2003","1 Indústria geral","-1.0"
"agosto 2003","1 Indústria geral","1.6"
"setembro 2003","1 Indústria geral","3.1"
"outubro 2003","1 Indústria geral","1.0"
"novembro 2003","1 Indústria geral","1.1"
"dezembro 2003","1 Indústria geral","-1.8"
"janeiro 2004","1 Indústria geral","1.8"
"fevereiro 2004","1 Indústria geral","1.7"
"março 2004","1 Indústria geral","0.6"
"abril 2004","1 Indústria geral","0.7"
"maio 2004","1 Indústria geral","0.8"
"junho 2004","1 Indústria geral","0.2"
"julho 2004","1 Indústria geral","0.7"
"agosto 2004","1 Indústria geral","1.0"
"setembro 2004","1 Indústria geral","0.6"
"outubro 2004","1 Indústria geral","-0.6"
"novembro 2004","1 Indústria geral","-0.3"
"dezembro 2004","1 Indústria geral","1.3"
"janeiro 2005","1 Indústria geral","0.3"
"fevereiro 2005","1 Indústria geral","-1.6"
"março 2005","1 Indústria geral","1.0"
"abril 2005","1 Indústria geral","0.1"
"maio 2005","1 Indústria geral","3.4"
"junho 2005","1 Indústria geral","-1.9"
"julho 2005","1 Indústria geral","-0.8"
"agosto 2005","1 Indústria geral","0.2"
"setembro 2005","1 Indústria geral","-1.1"
"outubro 2005","1 Indústria geral","-0.5"
"novembro 2005","1 Indústria geral","1.0"
"dezembro 2005","1 Indústria geral","2.0"
"janeiro 2006","1 Indústria geral","0.3"
"fevereiro 2006","1 Indústria geral","0.7"
"março 2006","1 Indústria geral","-0.5"
"abril 2006","1 Indústria geral","0.7"
"maio 2006","1 Indústria geral","0.9"
"junho 2006","1 Indústria geral","-1.7"
"julho 2006","1 Indústria geral","1.1"
"agosto 2006","1 Indústria geral","-0.1"
"setembro 2006","1 Indústria geral","-1.5"
"outubro 2006","1 Indústria geral","0.9"
"novembro 2006","1 Indústria geral","1.4"
"dezembro 2006","1 Indústria geral","1.1"
"janeiro 2007","1 Indústria geral","-0.4"
"fevereiro 2007","1 Indústria geral","1.2"
"março 2007","1 Indústria geral","1.1"
"abril 2007","1 Indústria geral","1.2"
"maio 2007","1 Indústria geral","0.3"
"junho 2007","1 Indústria geral","0.7"
"julho 2007","1 Indústria geral","-0.6"
"agosto 2007","1 Indústria geral","1.8"
"setembro 2007","1 Indústria geral","-1.2"
"outubro 2007","1 Indústria geral","2.9"
"novembro 2007","1 Indústria geral","-1.2"
"dezembro 2007","1 Indústria geral","0.4"
"janeiro 2008","1 Indústria geral","1.8"
"fevereiro 2008","1 Indústria geral","-0.5"
"março 2008","1 Indústria geral","0.3"
"abril 2008","1 Indústria geral","-0.1"
"maio 2008","1 Indústria geral","0.7"
"junho 2008","1 Indústria geral","1.8"
"julho 2008","1 Indústria geral","0.3"
"agosto 2008","1 Indústria geral","-1.3"
"setembro 2008","1 Indústria geral","1.2"
"outubro 2008","1 Indústria geral","-2.4"
"novembro 2008","1 Indústria geral","-6.3"
"dezembro 2008","1 Indústria geral","-11.2"
"janeiro 2009","1 Indústria geral","2.3"
"fevereiro 2009","1 Indústria geral","2.2"
"março 2009","1 Indústria geral","0.5"
"abril 2009","1 Indústria geral","1.4"
"maio 2009","1 Indústria geral","1.2"
"junho 2009","1 Indústria geral","1.4"
"julho 2009","1 Indústria geral","1.4"
"agosto 2009","1 Indústria geral","1.3"
"setembro 2009","1 Indústria geral","1.6"
"outubro 2009","1 Indústria geral","2.1"
"novembro 2009","1 Indústria geral","1.5"
"dezembro 2009","1 Indústria geral","0.1"
"janeiro 2010","1 Indústria geral","1.6"
"fevereiro 2010","1 Indústria geral","-0.3"
"março 2010","1 Indústria geral","2.6"
"abril 2010","1 Indústria geral","0.1"
"maio 2010","1 Indústria geral","-0.2"
"junho 2010","1 Indústria geral","-0.5"
"julho 2010","1 Indústria geral","-0.6"
"agosto 2010","1 Indústria geral","-0.4"
"setembro 2010","1 Indústria geral","0.3"
"outubro 2010","1 Indústria geral","-0.3"
"novembro 2010","1 Indústria geral","0.7"
"dezembro 2010","1 Indústria geral","0.6"
"janeiro 2011","1 Indústria geral","0.1"
"fevereiro 2011","1 Indústria geral","1.4"
"março 2011","1 Indústria geral","0.6"
"abril 2011","1 Indústria geral","-2.7"
"maio 2011","1 Indústria geral","2.9"
"junho 2011","1 Indústria geral","-2.0"
"julho 2011","1 Indústria geral","0.2"
"agosto 2011","1 Indústria geral","-0.9"
"setembro 2011","1 Indústria geral","-2.1"
"outubro 2011","1 Indústria geral","-0.8"
"novembro 2011","1 Indústria geral","0.7"
"dezembro 2011","1 Indústria geral","2.4"
"janeiro 2012","1 Indústria geral","-4.4"
"fevereiro 2012","1 Indústria geral","1.2"
"março 2012","1 Indústria geral","-0.8"
"abril 2012","1 Indústria geral","0.2"
"maio 2012","1 Indústria geral","0.3"
"junho 2012","1 Indústria geral","0.1"
"julho 2012","1 Indústria geral","1.5"
"agosto 2012","1 Indústria geral","2.4"
"setembro 2012","1 Indústria geral","-2.1"
"outubro 2012","1 Indústria geral","1.6"
"novembro 2012","1 Indústria geral","-1.6"
"dezembro 2012","1 Indústria geral","0.7"
"janeiro 2013","1 Indústria geral","0.8"
"fevereiro 2013","1 Indústria geral","-2.5"
"março 2013","1 Indústria geral","1.7"
"abril 2013","1 Indústria geral","1.6"
"maio 2013","1 Indústria geral","-0.2"
"junho 2013","1 Indústria geral","0.6"
