"date","exp_inflation"
2001-11-07,5.52
2001-11-08,5.67
2001-11-09,5.39
2001-11-12,5.4
2001-11-13,5.43
2001-11-14,5.49
2001-11-16,5.44
2001-11-19,5.43
2001-11-20,5.43
2001-11-21,5.44
2001-11-22,5.44
2001-11-23,5.45
2001-11-26,5.46
2001-11-27,5.5
2001-11-28,5.51
2001-11-29,5.54
2001-11-30,5.57
2001-12-03,5.56
2001-12-04,5.56
2001-12-05,5.57
2001-12-06,5.57
2001-12-07,5.59
2001-12-10,5.59
2001-12-11,5.56
2001-12-12,5.16
2001-12-13,5.16
2001-12-14,5.12
2001-12-17,5.12
2001-12-18,5.09
2001-12-19,5.11
2001-12-20,5.04
2001-12-21,5.01
2001-12-24,5
2001-12-26,4.98
2001-12-27,4.94
2001-12-28,4.85
2001-12-31,4.84
2002-01-02,4.81
2002-01-03,4.8
2002-01-04,4.76
2002-01-07,4.74
2002-01-08,4.76
2002-01-09,4.74
2002-01-10,4.75
2002-01-11,4.72
2002-01-14,4.72
2002-01-15,4.73
2002-01-16,4.73
2002-01-17,4.73
2002-01-18,4.75
2002-01-21,4.74
2002-01-22,4.75
2002-01-23,4.75
2002-01-24,4.75
2002-01-25,4.76
2002-01-28,4.79
2002-01-29,4.76
2002-01-30,4.76
2002-01-31,4.76
2002-02-01,4.77
2002-02-04,4.76
2002-02-05,4.77
2002-02-06,4.76
2002-02-07,4.77
2002-02-08,4.68
2002-02-11,4.66
2002-02-13,4.66
2002-02-14,4.65
2002-02-15,4.65
2002-02-18,4.65
2002-02-19,4.64
2002-02-20,4.64
2002-02-21,4.65
2002-02-22,4.67
2002-02-25,4.67
2002-02-26,4.66
2002-02-27,4.68
2002-02-28,4.7
2002-03-01,4.72
2002-03-04,4.72
2002-03-05,4.75
2002-03-06,4.76
2002-03-07,4.78
2002-03-08,4.78
2002-03-11,4.78
2002-03-12,4.71
2002-03-13,4.73
2002-03-14,4.79
2002-03-15,4.82
2002-03-18,4.82
2002-03-19,4.81
2002-03-20,4.81
2002-03-21,4.81
2002-03-22,4.85
2002-03-25,4.91
2002-03-26,4.93
2002-03-27,4.95
2002-03-28,4.94
2002-04-01,4.97
2002-04-02,4.98
2002-04-03,4.99
2002-04-04,5.07
2002-04-05,5.1
2002-04-08,5.11
2002-04-09,5.09
2002-04-10,4.91
2002-04-11,4.89
2002-04-12,4.9
2002-04-15,4.92
2002-04-16,4.91
2002-04-17,4.87
2002-04-18,4.86
2002-04-19,4.86
2002-04-22,4.84
2002-04-23,4.85
2002-04-24,4.89
2002-04-25,4.91
2002-04-26,4.91
2002-04-29,4.9
2002-04-30,4.9
2002-05-02,4.9
2002-05-03,4.9
2002-05-06,4.89
2002-05-07,4.9
2002-05-08,4.9
2002-05-09,4.9
2002-05-10,4.37
2002-05-13,4.38
2002-05-14,4.38
2002-05-15,4.4
2002-05-16,4.39
2002-05-17,4.41
2002-05-20,4.41
2002-05-21,4.4
2002-05-22,4.4
2002-05-23,4.39
2002-05-24,4.39
2002-05-27,4.38
2002-05-28,4.37
2002-05-29,4.38
2002-05-31,4.37
2002-06-03,4.37
2002-06-04,4.38
2002-06-05,4.39
2002-06-06,4.39
2002-06-07,4.39
2002-06-10,4.38
2002-06-11,4.37
2002-06-12,4.32
2002-06-13,4.33
2002-06-14,4.37
2002-06-17,4.4
2002-06-18,4.4
2002-06-19,4.41
2002-06-20,4.43
2002-06-21,4.45
2002-06-24,4.5
2002-06-25,4.55
2002-06-26,4.56
2002-06-27,4.59
2002-06-28,4.57
2002-07-01,4.64
2002-07-02,4.65
2002-07-03,4.7
2002-07-04,4.72
2002-07-05,4.76
2002-07-08,4.8
2002-07-09,4.82
2002-07-10,4.77
2002-07-11,4.81
2002-07-12,4.85
2002-07-15,4.89
2002-07-16,4.9
2002-07-17,4.91
2002-07-18,4.93
2002-07-19,4.95
2002-07-22,4.96
2002-07-23,4.97
2002-07-24,4.99
2002-07-25,5.01
2002-07-26,5
2002-07-29,5.02
2002-07-30,5.04
2002-07-31,5.08
2002-08-01,5.15
2002-08-02,5.15
2002-08-05,5.21
2002-08-06,5.25
2002-08-07,5.25
2002-08-08,5.29
2002-08-09,4.79
2002-08-12,4.86
2002-08-13,4.89
2002-08-14,4.91
2002-08-15,4.94
2002-08-16,4.97
2002-08-19,5.12
2002-08-20,5.18
2002-08-21,5.22
2002-08-22,5.22
2002-08-23,5.24
2002-08-26,5.28
2002-08-27,5.31
2002-08-28,5.37
2002-08-29,5.39
2002-08-30,5.4
2002-09-02,5.53
2002-09-03,5.54
2002-09-04,5.56
2002-09-05,5.59
2002-09-06,5.63
2002-09-09,5.7
2002-09-10,5.63
2002-09-11,5.63
2002-09-12,5.65
2002-09-13,5.7
2002-09-16,5.78
2002-09-17,5.78
2002-09-18,5.8
2002-09-19,5.84
2002-09-20,5.81
2002-09-23,5.87
2002-09-24,5.89
2002-09-25,5.92
2002-09-26,6.04
2002-09-27,6.27
2002-09-30,6.28
2002-10-01,6.36
2002-10-02,6.53
2002-10-03,6.53
2002-10-04,6.53
2002-10-07,6.59
2002-10-08,6.64
2002-10-09,6.55
2002-10-10,6.56
2002-10-11,6.66
2002-10-14,6.84
2002-10-15,6.91
2002-10-16,7.27
2002-10-17,7.66
2002-10-18,7.92
2002-10-21,7.95
2002-10-22,8.15
2002-10-23,8.22
2002-10-24,8.41
2002-10-25,8.64
2002-10-28,8.71
2002-10-29,8.73
2002-10-30,8.79
2002-10-31,8.94
2002-11-01,9.39
2002-11-04,9.74
2002-11-05,9.83
2002-11-06,9.91
2002-11-07,9.93
2002-11-08,10.13
2002-11-11,10.18
2002-11-12,10.03
2002-11-13,10.49
2002-11-14,10.78
2002-11-18,11
2002-11-19,11.08
2002-11-20,11.15
2002-11-21,11.23
2002-11-22,11.5
2002-11-25,11.76
2002-11-26,12.09
2002-11-27,12.12
2002-11-28,12.28
2002-11-29,12.47
2002-12-02,12.54
2002-12-03,12.68
2002-12-04,12.73
2002-12-05,12.9
2002-12-06,11.42
2002-12-09,11.62
2002-12-10,11.68
2002-12-11,11.74
2002-12-12,11.9
2002-12-13,12.1
2002-12-16,12.12
2002-12-17,12.17
2002-12-18,12.43
2002-12-19,12.75
2002-12-20,12.87
2002-12-23,12.91
2002-12-24,12.92
2002-12-26,12.98
2002-12-27,13.09
2002-12-30,13.2
2002-12-31,13.24
2003-01-02,13.27
2003-01-03,13.35
2003-01-06,13.48
2003-01-07,13.55
2003-01-08,13.52
2003-01-09,13.51
2003-01-10,11.85
2003-01-13,11.86
