"date","inflation","nominal_interest_rate","exp_inflation","real_interest_rate","uncertainty","ibcbr","real_ex_rate","commodity_index","ind_prod","m1"
1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.691e+09
1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.691e+09
1963-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.698e+09
1963-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.697e+09
1963-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7e+09
1963-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.769e+09
1963-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.873e+09
1963-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91e+09
1963-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.027e+09
1963-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.139e+09
1963-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.246e+09
1963-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.403e+09
1963-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.778e+09
1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.765e+09
1964-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85e+09
1964-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.026e+09
1964-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1e+09
1964-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28e+09
1964-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.593e+09
1964-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.673e+09
1964-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.915e+09
1964-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.156e+09
1964-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.424e+09
1964-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.638e+09
1964-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.128e+09
1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.131e+09
1965-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.384e+09
1965-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.561e+09
1965-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.845e+09
1965-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.144e+09
1965-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.607e+09
1965-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.858e+09
1965-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29e+09
1965-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67e+09
1965-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.041e+09
