;Gross Domestic Product, Nominal, Domestic Currency;Household Consumption Expenditure, incl. NPISHs, Nominal, Domestic Currency;Government Consumption Expenditure, Nominal, Domestic Currency;Gross Fixed Capital Formation, Nominal, Domestic Currency;Change in Inventories, Nominal, Domestic Currency;Exports of Goods and Services, Nominal, Domestic Currency;Imports of Goods and Services, Nominal, Domestic Currency;Gross Domestic Product, Volume (2010 = 100);Gross Domestic Product, Deflator (2010 = 100)
Date;NGDP_XDC;NCP_XDC;NCGG_XDC;NFI_XDC;NINV_XDC;NX_XDC;NM_XDC;NGDP_R_K_IX;NGDP_D_IX
2003Q1;397,241.60;257,432.10;70,185.40;70,261.70;-5,652.20;63,030.90;58,016.30;71.14;57.53
2003Q2;418,987.30;260,277.10;78,571.80;68,695.80;1,755.00;62,161.50;52,473.80;72.86;59.25
2003Q3;439,349.80;267,444.70;82,553.20;71,784.90;5,204.00;66,753.60;54,390.70;75.32;60.10
2003Q4;462,371.60;277,306.40;96,431.30;74,519.20;3,021.10;68,852.30;57,758.70;75.13;63.41
2004Q1;444,783.50;274,159.50;76,588.00;76,797.40;5,596.00;66,312.70;54,670.10;73.90;62.01
2004Q2;481,795.00;284,833.50;84,759.80;83,337.30;9,433.30;82,949.60;63,518.50;77.46;64.09
2004Q3;505,252.30;301,880.70;90,361.50;90,684.40;1,330.20;90,341.30;69,345.70;80.26;64.86
2004Q4;525,920.40;317,821.40;109,840.00;88,267.90;-4,763.00;84,321.30;69,567.20;79.80;67.90
2005Q1;499,710.40;308,544.10;89,562.20;85,393.60;773.30;77,093.80;61,656.80;77.00;66.87
2005Q2;535,557.40;321,751.90;95,934.70;92,729.20;7,349.20;82,694.50;64,902.00;80.92;68.19
2005Q3;552,859.20;332,896.00;99,485.50;96,634.00;1,882.10;88,086.50;66,124.90;81.96;69.50
2005Q4;582,457.60;350,103.80;125,041.00;95,462.10;-6,777.00;83,005.40;64,377.80;81.52;73.62
2006Q1;554,270.50;345,001.80;100,991.60;96,723.10;-1,707.00;76,049.40;62,788.30;80.29;71.13
2006Q2;581,976.90;355,817.10;105,728.70;100,732.60;6,668.70;79,740.00;66,710.20;82.77;72.45
2006Q3;617,847.70;368,733.90;111,875.40;108,368.10;6,820.30;98,607.70;76,557.70;85.64;74.33
2006Q4;655,354.90;386,662.80;140,137.50;108,849.80;2,823.50;91,944.80;75,063.50;85.42;79.04
2007Q1;631,423.00;384,998.90;114,488.90;109,266.90;13,576.20;85,082.50;75,990.30;84.46;77.03
2007Q2;670,654.70;400,751.20;123,655.20;119,167.00;15,015.40;89,592.80;77,526.80;88.18;78.36
2007Q3;691,845.90;410,354.10;125,131.30;129,920.70;16,545.60;95,806.50;85,912.30;90.67;78.62
2007Q4;726,339.30;432,651.80;152,023.70;131,177.40;4,468.60;92,066.10;86,048.30;91.10;82.15
2008Q1;712,055.30;433,753.10;128,393.80;132,371.50;23,503.60;80,423.10;86,389.90;89.66;81.82
2008Q2;769,525.20;456,472.70;139,782.60;147,732.50;25,908.80;98,350.10;98,721.60;93.77;84.56
2008Q3;812,602.60;480,468.40;144,804.70;168,886.00;17,306.80;115,426.60;114,289.90;97.00;86.31
2008Q4;815,620.10;486,815.70;172,887.00;153,855.60;2,755.50;126,681.00;127,374.70;92.03;91.31
2009Q1;756,127.10;474,263.60;150,521.40;134,944.70;2,750.50;87,579.40;93,932.50;87.49;89.05
2009Q2;803,577.50;504,220.00;150,884.80;147,361.70;-3,905.00;94,053.00;89,036.90;91.70;90.29
2009Q3;852,843.30;534,397.20;157,479.60;172,381.60;-8,449.70;92,891.30;95,856.70;95.87;91.65
2009Q4;920,491.50;552,152.40;196,077.70;181,987.80;-589.00;87,156.80;96,294.30;96.93;97.84
2010Q1;886,397.30;546,391.90;163,725.40;177,984.50;12,732.70;86,093.70;100,530.80;95.54;95.59
2010Q2;944,145.00;568,567.30;172,802.80;193,393.00;15,320.50;104,085.60;110,024.30;99.51;97.76
2010Q3;997,934.80;596,732.40;179,939.90;214,814.00;19,041.60;112,717.80;125,310.90;102.50;100.32
2010Q4;1,057,369.90;628,475.40;222,497.90;211,754.50;2,125.20;114,372.90;121,855.90;102.45;106.34
2011Q1;1,016,530.40;623,584.70;177,786.80;209,985.60;17,766.10;102,540.60;115,133.40;100.51;104.21
2011Q2;1,086,711.70;648,648.60;199,020.50;220,960.50;24,061.20;123,710.10;129,689.20;104.19;107.46
2011Q3;1,112,333.80;668,612.00;199,027.30;237,137.10;12,077.00;135,788.30;140,308.00;106.12;108.00
2011Q4;1,160,806.10;696,968.70;241,203.40;233,843.80;-630.30;139,763.00;150,342.50;105.08;113.82
2012Q1;1,129,478.50;694,702.00;194,537.60;233,280.00;24,876.30;117,375.20;135,292.50;102.22;113.84
2012Q2;1,183,129.70;718,126.70;215,506.20;244,244.20;19,703.00;144,381.00;158,831.40;105.22;115.86
2012Q3;1,230,448.50;753,551.00;215,552.50;259,596.90;11,380.20;151,023.90;160,656.00;108.76;116.57
2012Q4;1,271,703.30;790,454.40;266,583.70;260,338.90;-22,231.40;150,693.90;174,136.20;107.69;121.67
