Date,Value
1948,5.90
1949,8.30
1950,9.20
1951,18.10
1952,9.30
1953,13.80
1954,27.10
1955,11.80
1956,22.60
1957,12.70
1958,12.40
1959,35.90
1960,25.40
1961,34.70
1962,50.10
1963,78.40
1964,89.90
1965,58.20
1966,37.90
1967,26.50
1968,26.70
1969,20.10
1970,16.40
1971,19.40
1972,19.90
1973,29.60
1974,34.60
1975,33.90
1976,41.20
1977,45.40
1978,38.20
1979,54.40
1980,90.40
1981,100.60
1982,101.00
1983,131.50
1984,201.70
1985,248.50
1986,149.10
1987,206.10
1988,628.00
1989,1304.50
1990,2595.60
1991,416.70
1992,969.00
1993,1996.20
1994,2240.20
1995,77.50
1996,18.30
1997,7.70
1998,4.90
1999,8.00
2000,5.50
2001,8.10
2002,9.90
2003,14.00
2004,7.80
2005,7.50
2006,6.70
2007,6.40
2008,8.90
2009,7.40
2010,8.60
2011,8.30
2012,5.90
2013,6.50
2014,6.90
