Trimestre;Índice (PIB efetivo de 2000=100);;Hiato de Produto;Fonte: Grupo de Conjuntuura/Dimac/Ipea.;;;
;Produto Potencial;PIB Efetivo com ajuste Sazonal (2000=100);;"Metodologia:
SOUZA-JÚNIOR, J. R. C. Produto Potencial e Hiato do Produto: nível atual e projeções para 2018. Carta de Conjuntura do Ipea, v. 36, 2017.
Disponível em:
<http://www.ipea.gov.br/cartadeconjuntura/index.php/2017/10/13/produto-potencial-e-hiato-do-produto-nivel-atual-cc36/>.";;;
1993 T1;84.49;80.46;-4.8%;;;;
1993 T2;84.94;81.37;-4.2%;;;;
1993 T3;85.54;82.39;-3.7%;;;;
1993 T4;85.94;82.81;-3.6%;;;;
1994 T1;86.40;83.09;-3.8%;;;;
1994 T2;86.89;83.06;-4.4%;;;;
1994 T3;88.03;87.13;-1.0%;;;;
1994 T4;88.34;91.22;3.3%;;;;
1995 T1;88.98;91.10;2.4%;;;;
1995 T2;89.40;90.16;0.8%;;;;
1995 T3;90.15;88.74;-1.6%;;;;
1995 T4;90.67;89.77;-1.0%;;;;
1996 T1;91.55;90.61;-1.0%;;;;
1996 T2;92.05;90.30;-1.9%;;;;
1996 T3;92.46;93.82;1.5%;;;;
1996 T4;92.89;92.90;0.0%;;;;
1997 T1;93.07;93.77;0.8%;;;;
1997 T2;93.57;94.29;0.8%;;;;
1997 T3;93.95;95.63;1.8%;;;;
1997 T4;94.21;96.41;2.3%;;;;
1998 T1;95.32;94.18;-1.2%;;;;
1998 T2;95.71;96.09;0.4%;;;;
1998 T3;95.78;96.12;0.4%;;;;
1998 T4;96.31;95.02;-1.3%;;;;
1999 T1;96.74;95.13;-1.7%;;;;
1999 T2;97.61;95.31;-2.4%;;;;
1999 T3;98.27;95.66;-2.7%;;;;
1999 T4;98.70;97.10;-1.6%;;;;
2000 T1;99.48;98.60;-0.9%;;;;
2000 T2;100.25;99.52;-0.7%;;;;
2000 T3;100.61;100.27;-0.3%;;;;
2000 T4;100.87;101.61;0.7%;;;;
2001 T1;101.78;101.90;0.1%;;;;
2001 T2;102.52;101.75;-0.8%;;;;
2001 T3;102.93;100.81;-2.1%;;;;
2001 T4;103.66;101.08;-2.5%;;;;
2002 T1;104.24;102.91;-1.3%;;;;
2002 T2;105.17;103.49;-1.6%;;;;
2002 T3;105.74;105.14;-0.6%;;;;
2002 T4;106.67;106.39;-0.3%;;;;
2003 T1;107.46;104.93;-2.4%;;;;
2003 T2;108.11;104.90;-3.0%;;;;
2003 T3;108.90;105.78;-2.9%;;;;
2003 T4;110.04;107.09;-2.7%;;;;
2004 T1;110.91;109.07;-1.7%;;;;
2004 T2;112.17;111.26;-0.8%;;;;
2004 T3;113.39;112.87;-0.5%;;;;
2004 T4;114.66;113.85;-0.7%;;;;
2005 T1;115.65;113.87;-1.5%;;;;
2005 T2;116.63;115.82;-0.7%;;;;
2005 T3;117.54;115.31;-1.9%;;;;
2005 T4;118.93;116.33;-2.2%;;;;
2006 T1;119.92;117.97;-1.6%;;;;
2006 T2;120.95;119.09;-1.5%;;;;
2006 T3;122.26;120.62;-1.3%;;;;
2006 T4;123.83;121.91;-1.5%;;;;
2007 T1;124.95;124.27;-0.5%;;;;
2007 T2;126.32;126.59;0.2%;;;;
2007 T3;127.54;127.81;0.2%;;;;
2007 T4;128.81;129.99;0.9%;;;;
2008 T1;130.46;132.07;1.2%;;;;
2008 T2;131.89;134.37;1.9%;;;;
2008 T3;133.36;136.86;2.6%;;;;
2008 T4;134.25;131.26;-2.2%;;;;
2009 T1;135.88;128.60;-5.4%;;;;
2009 T2;136.94;131.88;-3.7%;;;;
2009 T3;138.40;135.15;-2.3%;;;;
2009 T4;139.30;138.26;-0.7%;;;;
2010 T1;140.67;140.58;-0.1%;;;;
2010 T2;141.48;142.77;0.9%;;;;
2010 T3;142.33;144.59;1.6%;;;;
2010 T4;143.41;146.21;1.9%;;;;
2011 T1;145.40;147.20;1.2%;;;;
2011 T2;146.97;150.01;2.1%;;;;
2011 T3;148.24;149.76;1.0%;;;;
2011 T4;149.15;150.06;0.6%;;;;
2012 T1;150.10;149.86;-0.2%;;;;
2012 T2;150.92;151.21;0.2%;;;;
2012 T3;151.68;153.59;1.3%;;;;
2012 T4;152.42;153.88;1.0%;;;;
2013 T1;153.10;153.90;0.5%;;;;
2013 T2;153.48;157.09;2.4%;;;;
2013 T3;153.99;157.98;2.6%;;;;
2013 T4;154.50;157.89;2.2%;;;;
2014 T1;154.68;158.23;2.3%;;;;
2014 T2;155.11;157.08;1.3%;;;;
2014 T3;155.34;157.05;1.1%;;;;
2014 T4;155.53;157.67;1.4%;;;;
2015 T1;155.51;155.95;0.3%;;;;
2015 T2;155.26;152.42;-1.8%;;;;
2015 T3;155.06;150.35;-3.0%;;;;
2015 T4;154.90;148.94;-3.8%;;;;
2016 T1;154.77;147.90;-4.4%;;;;
2016 T2;154.75;147.05;-5.0%;;;;
2016 T3;154.53;146.32;-5.3%;;;;
2016 T4;154.61;145.31;-6.0%;;;;
2017 T1;154.59;147.21;-4.8%;;;;
2017 T2;154.78;148.21;-4.2%;;;;
2017 T3;155.04;148.43;-4.3%;;;;
