"date","output_gap","inflation","nominal_interest_rate","exp_inflation","real_interest_rate","uncertainty","ibcbr","real_ex_rate","commodity_index","nominal_exports","nominal_imports","nominal_change_invent","nominal_gross_fixed_cap_form","nominal_gdp","real_gdp","hh_cons_exp","gov_cons_exp","gdp_deflator","rgdp_growth_prev_year","rgdp_growth","q1","q2","q3","q4","logdiff_commodity_index","inflation_adj","rgdp_growth_adj"
1995-01-01,0.024,0.184767082749778,0.6573,NA,NA,NA,NA,76.62,NA,1.0401e+10,13788210000,-6738980000,31363060000,156929500000,NA,100056930000,35635710000,29.03,NA,NA,1,0,0,0,NA,0.172980585050397,NA
1995-04-01,0.008,0.337537886560993,0.608,NA,NA,NA,NA,74.8,NA,12493410000,16183650000,141800000,33785850000,170781310000,NA,104893100000,35650810000,29.03,NA,0.0883,0,1,0,0,NA,0.3377110744293,0.0400017220813974
1995-07-01,-0.016,0.187813033821528,0.5037,NA,NA,NA,NA,72.93,NA,14259500000,16031820000,-2716170000,32139480000,180259640000,NA,115703700000,36904930000,29.03,NA,0.0555,0,0,1,0,NA,0.187104916467902,0.0131913488548199
1995-10-01,-0.01,0.192791515262091,0.4025,NA,NA,NA,NA,71.08,NA,14053160000,15916410000,7225220000,32008310000,197670440000,NA,120058150000,40242010000,29.03,NA,0.0966,0,0,0,1,NA,0.18381197219763,0.128803762338086
1996-01-01,-0.013,0.114280470939349,0.2984,NA,NA,NA,NA,70.35,NA,12305880000,14772810000,-4964060000,35403160000,189323300000,NA,125685050000,35666080000,32.16,0.0892,-0.1353,1,0,0,0,NA,0.12806908056686,-0.0797352252910447
1996-04-01,-0.016,0.1570907125975,0.244,NA,NA,NA,NA,68.71,NA,14576310000,17470480000,-3354750000,39326080000,204610730000,NA,132510860000,39022700000,33.61,0.0347,0.0339,0,1,0,0,NA,0.132603751373691,-0.00866086665458261
1996-07-01,0.014,0.0700573938644913,0.2513,NA,NA,NA,NA,69.35,NA,15560480000,20927580000,993980000,41417570000,221513230000,NA,142658330000,41810460000,33.87,0.0532,0.0743,0,0,1,0,NA,0.0908718658964729,0.0308875492090178
1996-10-01,0,0.0444783325269269,0.2492,NA,NA,NA,NA,69.53,NA,15084720000,22949100000,-4417120000,43186710000,239316350000,NA,156087500000,52323640000,37.74,-0.0686,-0.0302,0,0,0,1,NA,0.0624011255708831,-0.000355317341150088
1997-01-01,0.008,0.0911389006585761,0.2388,NA,NA,NA,NA,67.06,NA,1.3162e+10,19333250000,-7355300000,42696630000,219117050000,NA,147807940000,42139020000,35.99,0.034,-0.0401,1,0,0,0,NA,0.0724398346037843,0.0136509005626639
1997-04-01,0.007,0.0756814668564072,0.209,NA,NA,NA,NA,67.4,NA,17401760000,22570110000,-8062740000,46189460000,232889540000,NA,154446530000,45484650000,36.52,0.0475,0.0474,0,1,0,0,NA,0.053633770575434,0.00637548930986043
1997-07-01,0.017,0.0104436930626255,0.1918,NA,NA,NA,NA,67.64,NA,18528580000,25171210000,2106220000,47287130000,246178480000,NA,157597810000,45829940000,36.98,0.0179,0.0439,0,0,1,0,NA,0.0432572808133497,0.00527340470468412
1997-10-01,0.024,0.0337022636125719,0.4084,NA,NA,NA,NA,68.19,NA,17398230000,24255150000,373740000,45893850000,253904120000,NA,161953640000,52539820000,38.59,0.0374,-0.0116,0,0,0,1,NA,0.0402216685680983,0.0133728479623117
1998-01-01,-0.013,0.0620854662697046,0.2727,NA,NA,NA,NA,67.86,39.55,16098850000,21714340000,-8375530000,45594780000,235700700000,NA,157102910000,46994030000,38.33,0.0101,-0.0654,1,0,0,0,NA,0.0320024022706185,-0.0127816859680699
1998-04-01,0.004,0.0308034889109932,0.2065,NA,NA,NA,NA,68.81,38.17,18804600000,22895700000,-852950000,48379310000,251935880000,NA,159193940000,49306680000,38.92,0.0151,0.0526,0,1,0,0,-0.0355158274565244,0.0263220837164494,0.0123492260103265
1998-07-01,0.003,-0.0334911021091542,0.405,NA,NA,NA,NA,72.56,36.63,18785810000,25366180000,3701040000,47636030000,258043290000,NA,163447310000,49839270000,38.63,0.0036,0.0321,0,0,1,0,-0.0411822899664154,-0.000639919534578051,-0.0014498236591784
1998-10-01,-0.013,0.00921752765275308,0.2896,NA,NA,NA,NA,75.26,35.78,16781030000,24325810000,1742590000,44249300000,256671150000,NA,163186840000,55037190000,39.58,-0.0143,-0.0293,0,0,0,1,-0.02347849871015,-0.00158877645645099,-0.00727434188703297
1999-01-01,-0.021,0.120128315936647,0.4193,NA,NA,NA,NA,112.06,54.19,22153370000,25846740000,-3514980000,44120580000,250667990000,NA,164892670000,48863090000,40.45,0.0077,-0.0445,1,0,0,0,0.41510731149745,0.0986730915893043,0.00306437483931748
1999-04-01,-0.02,0.0428030607788155,0.2096,NA,NA,NA,NA,102.06,49.75,24727750000,29000690000,3828670000,47152460000,268708930000,NA,170252070000,51748670000,41.68,-0.004,0.0404,0,1,0,0,-0.0854859259734209,0.0721788013440771,0.00417294096729285
1999-07-01,-0.027,0.081211774436077,0.19,NA,NA,NA,NA,109.72,54.35,27646220000,32971230000,311870000,46383160000,274125560000,NA,178811440000,53944090000,41.29,-0.0062,0.0298,0,0,1,0,0.0884341499626164,0.0746071755111701,0.000917291472834546
1999-10-01,-0.016,0.115238104563015,0.1904,NA,NA,NA,NA,102.78,54.37,29511050000,36368150000,3434490000,47431810000,294207980000,NA,189576240000,60622540000,44.41,0.0217,-0.0021,0,0,0,1,0.000367917590610833,0.089676535749398,0.0157407448625983
2000-01-01,-0.008,0.0394694028559883,0.1852,NA,NA,83.8,NA,95.28,53,26401900000,3.1107e+10,-496500000,56886900000,276926900000,187799500000,176025200000,49216400000,42.81,0.044,-0.0236,1,0,0,0,-0.0255206176057072,0.0557526792845457,0.0193378628030883
2000-04-01,-0.009,0.0267045784219344,0.1729,NA,NA,89.3,NA,98.44,56.22,30238800000,34983100000,930500000,53911100000,292788600000,194596600000,189995900000,52695400000,43.68,0.0398,0.0362,0,1,0,0,0.0589806519262637,0.0594156323134532,0.00429510825108328
2000-07-01,-0.004,0.133302869277547,0.166,NA,NA,86.3,NA,94.05,58.42,33767700000,40155500000,6805100000,53878600000,308895800000,201534700000,200011600000,54588400000,44.5,0.0456,0.0357,0,0,1,0,0.0383857314812097,0.0863475323060132,0.00972732798516533
2000-10-01,0.007,0.0427967639842228,0.1584,NA,NA,86.1,NA,101.06,63.77,31755800000,43061900000,-60900000,54811100000,320480800000,201179500000,208493200000,68543600000,46.25,0.046,-0.0018,0,0,0,1,0.0876245633675854,0.0498560638705555,0.0132555164369256
2001-01-01,0.002,0.0578772100672298,0.1584,NA,NA,88.8,NA,109.46,63.02,33576500000,42901600000,1546500000,61689200000,312469800000,194325700000,203369300000,55189900000,46.68,0.0348,-0.0341,1,0,0,0,-0.0118307239980524,0.0725646930515965,0.00624962212195075
2001-04-01,-0.008,0.062097320367317,0.1832,NA,NA,96.1,NA,121.73,68.59,40837200000,48577400000,425900000,62066900000,323723600000,1.99123e+11,210283800000,58687200000,47.2,0.0233,0.0247,0,1,0,0,0.0846946151821015,0.0771436669747437,-0.00528941174872296
2001-07-01,-0.021,0.0962947995421388,0.191,NA,NA,108.7,NA,136.35,70.01,4.5701e+10,51522600000,6445200000,60427400000,332524400000,202464100000,211485600000,59987800000,47.68,0.0046,0.0168,0,0,1,0,0.0204913374778766,0.0685703011547467,-0.00689096785364585
2001-10-01,-0.025,0.0912005332038299,0.1905,0.0484,0.1421,97,NA,116.85,59.38,42666800000,48632600000,-4157600000,58153500000,347037600000,200109700000,2.18362e+11,80645500000,50.35,-0.0053,-0.0116,0,0,0,1,-0.164680619653493,0.0867045605768864,0.00258113322005242
